,Unnamed: 0,X,X_acc,Y,Y_acc,Z,Z_acc,Roll,Roll_acc,Pitch,Pitch_acc,Yaw,Yaw_acc
0,Tautra_20170307_120309_1_00000.png,575309.6145753537,1.5,7052818.770119048,1.5,-83.7082491841799,0.5,8.12250222162595,1.0,5.205015405509749,1.0,231.14806282913588,3.0
1,Tautra_20170307_120309_1_00001.png,575309.6015663396,1.5,7052818.7346558785,1.5,-83.70864512523548,0.5,8.754440098630521,1.0,5.359316310119589,1.0,231.25265514792656,3.0
2,Tautra_20170307_120309_1_00002.png,575309.5885635422,1.5,7052818.6992096575,1.5,-83.70904087707335,0.5,9.190843715734806,1.0,4.728783858270097,1.0,232.1106664448789,3.0
3,Tautra_20170307_120309_1_00003.png,575309.5755583064,1.5,7052818.663756788,1.5,-83.70943670313828,0.5,8.337260878404619,1.0,5.138462261457788,1.0,231.9348443198451,3.0
4,Tautra_20170307_120309_1_00004.png,575309.5625457241,1.5,7052818.62828389,1.5,-83.70761989799749,0.5,7.886524564925318,1.0,5.4440152142714,1.0,231.840064298021,3.0
5,Tautra_20170307_120309_1_00005.png,575309.5495442456,1.5,7052818.592841263,1.5,-83.70541531375592,0.5,7.681303425451852,1.0,5.519783869073052,1.0,231.18512516631804,3.0
6,Tautra_20170307_120309_1_00006.png,575309.5284577726,1.5,7052818.566576128,1.5,-83.70320636936505,0.5,7.886151148629245,1.0,5.9289404727583435,1.0,231.21634027582786,3.0
7,Tautra_20170307_120309_1_00007.png,575309.5016219937,1.5,7052818.546977352,1.5,-83.70100046046242,0.5,8.18917622402429,1.0,6.130976308509834,1.0,231.39259180101027,3.0
8,Tautra_20170307_120309_1_00008.png,575309.4745802975,1.5,7052818.527228192,1.5,-83.69877762506826,0.5,8.395508887583997,1.0,6.473459711200081,1.0,230.61912962097506,3.0
9,Tautra_20170307_120309_1_00009.png,575309.4478030147,1.5,7052818.507672138,1.5,-83.69640433550337,0.5,8.616477783537631,1.0,6.613809756543256,1.0,230.2184084761332,3.0
10,Tautra_20170307_120309_1_00010.png,575309.4210760429,1.5,7052818.488152826,1.5,-83.69400803911103,0.5,8.723588040538807,1.0,7.009167870270217,1.0,230.15891507048,3.0
11,Tautra_20170307_120309_1_00011.png,575309.3942506196,1.5,7052818.468561614,1.5,-83.69160291568971,0.5,8.971727689857854,1.0,7.140188433814932,1.0,231.34003759264797,3.0
12,Tautra_20170307_120309_1_00012.png,575309.3980166856,1.5,7052818.431765802,1.5,-83.68919802461114,0.5,9.05325146904754,1.0,7.164031546247093,1.0,230.88130000512155,3.0
13,Tautra_20170307_120309_1_00013.png,575309.4090469416,1.5,7052818.390901331,1.5,-83.68679434724005,0.5,9.567589207280449,1.0,6.99194468637692,1.0,229.8538233556086,3.0
14,Tautra_20170307_120309_1_00014.png,575309.4200777486,1.5,7052818.350034817,1.5,-83.68833582031316,0.5,9.41161608422104,1.0,6.875871662825798,1.0,229.69175843502697,3.0
15,Tautra_20170307_120309_1_00015.png,575309.4311148701,1.5,7052818.30914491,1.5,-83.69053225422262,0.5,9.249375844044009,1.0,6.820967814575528,1.0,230.0809517948285,3.0
16,Tautra_20170307_120309_1_00016.png,575309.4421567309,1.5,7052818.268237445,1.5,-83.69272963124773,0.5,8.994666447633232,1.0,6.9881184505193925,1.0,229.37100720095387,3.0
17,Tautra_20170307_120309_1_00017.png,575309.4511570253,1.5,7052818.2296916125,1.5,-83.6949269743608,0.5,9.046541403007081,1.0,6.773452828528949,1.0,230.01289390236914,3.0
18,Tautra_20170307_120309_1_00018.png,575309.4416824338,1.5,7052818.212526494,1.5,-83.6971232742687,0.5,9.225231255229842,1.0,5.8340351558557595,1.0,229.12726921717828,3.0
19,Tautra_20170307_120309_1_00019.png,575309.4322062029,1.5,7052818.195358404,1.5,-83.69915134063187,0.5,9.187825982570672,1.0,5.615224396161778,1.0,229.23219375003384,3.0
20,Tautra_20170307_120309_1_00020.png,575309.4227243742,1.5,7052818.178180172,1.5,-83.70115312012005,0.5,9.199974158458849,1.0,6.720796134451662,1.0,229.27641028041307,3.0
21,Tautra_20170307_120309_1_00021.png,575309.4132537005,1.5,7052818.161022153,1.5,-83.70315254461113,0.5,9.359194106636004,1.0,6.588658077375357,1.0,229.3408158329368,3.0
22,Tautra_20170307_120309_1_00022.png,575309.4037775918,1.5,7052818.143854284,1.5,-83.70515311653566,0.5,9.285838543353123,1.0,7.869910570519433,1.0,229.08202358214626,3.0
23,Tautra_20170307_120309_1_00023.png,575309.3714759578,1.5,7052818.141732132,1.5,-83.70715751564789,0.5,9.208654843156912,1.0,8.873944150987246,1.0,229.39314313661697,3.0
24,Tautra_20170307_120309_1_00024.png,575309.358604847,1.5,7052818.129641615,1.5,-83.70652802554251,0.5,9.558160410797058,1.0,8.479220421902603,1.0,230.1345949331415,3.0
25,Tautra_20170307_120309_1_00025.png,575309.345722995,1.5,7052818.117541008,1.5,-83.70551920786293,0.5,9.907250463891842,1.0,7.8267954248619285,1.0,230.01204892331032,3.0
26,Tautra_20170307_120309_1_00026.png,575309.3329239489,1.5,7052818.105518185,1.5,-83.70451687497639,0.5,9.860837230721748,1.0,7.988803969533619,1.0,229.8464128258458,3.0
27,Tautra_20170307_120309_1_00027.png,575309.3201211661,1.5,7052818.09349185,1.5,-83.70351424944207,0.5,9.737559004909007,1.0,7.618635452967454,1.0,230.11158530488208,3.0
